osm_id,tourism,addrstreet,amenity_derived,addrfull,name,shop,addrcity,coords.x1,coords.x2,optional,amenity
3454534391,NA,NA,toilets,NA,6,NA,NA,101.516532,3.0769084,TRUE,toilets
3454534390,NA,NA,toilets,NA,7,NA,NA,101.514971,3.0757855,TRUE,toilets
1752130918,NA,NA,toilets,NA,8,NA,NA,101.5183519,3.075869,TRUE,toilets
2688305807,NA,NA,nightclub,NA,129,NA,NA,115.2425625,5.2808265,TRUE,nightclub
2883322262,NA,NA,cafe,NA,1511,NA,NA,102.2466116,2.1954055,TRUE,cafe
2891370137,guest_house,Jalan Kota Laksamana,guest_house,NA,1511,NA,NA,102.2441392,2.1939289,TRUE,NA
4629762809,hotel,Leboh Ampang,hotel,NA,1915,NA,Kuala Lumpur,101.6973324,3.1489023,TRUE,NA
2334388126,NA,NA,restaurant,NA,2020,NA,NA,101.7530371,3.131022,TRUE,restaurant
2334387835,NA,NA,restaurant,NA,9898,NA,NA,101.7530452,3.131638,TRUE,restaurant
4917104527,artwork,NA,artwork,NA,"""Ah Quee?"" sculpture",NA,NA,100.338502,5.4155727,TRUE,NA
4916993626,artwork,NA,artwork,NA,"""Beca""",NA,NA,100.3377147,5.4191706,TRUE,NA
2270325266,artwork,NA,artwork,NA,"""Boy on a Bike"" mural",NA,NA,100.3389232,5.4152635,TRUE,NA
4109106189,artwork,NA,artwork,NA,"""Brother and Sister on a Swing"" Mural",NA,NA,100.3407574,5.4142576,TRUE,NA
4559461594,artwork,NA,artwork,NA,"""Bullock Cart Wheel"" Sculpture",NA,NA,100.3392796,5.4185529,TRUE,NA
4396340189,artwork,NA,artwork,NA,"""Burning"" mural",NA,NA,100.3390236,5.4151527,TRUE,NA
4109101092,artwork,NA,artwork,NA,"""Cats & Humans Happily Living Together"" mural",NA,NA,100.338565,5.4149973,TRUE,NA
4109101093,artwork,NA,artwork,NA,"""Children Playing Basketball"" Mural",NA,NA,100.3403266,5.4140174,TRUE,NA
4109101091,artwork,NA,artwork,NA,"""Cultural Girls"" mural",NA,NA,100.3374981,5.4152223,TRUE,NA
4917104525,artwork,NA,artwork,NA,"""Double Role"" Sculpture",NA,NA,100.3397305,5.4153671,TRUE,NA
4917090626,artwork,NA,artwork,NA,"""Duck"" Sculpture",NA,NA,100.340859,5.4163954,TRUE,NA
4396288919,artwork,NA,artwork,NA,"""Elephant Head"" mural",NA,NA,100.338794,5.4154836,TRUE,NA
4396299493,artwork,NA,artwork,NA,"""Feed the stray"" Mural",NA,NA,100.3389123,5.4155705,TRUE,NA
4917104523,artwork,NA,artwork,NA,"""Gedung Rumput"" Sculpture",NA,NA,100.3391123,5.4181177,TRUE,NA
4917000624,artwork,NA,artwork,NA,"""Gold Tooth"" Sculpture",NA,NA,100.3395936,5.4188583,TRUE,NA
4917002821,artwork,NA,artwork,NA,"""I Can Help Catch Rats"" mural",NA,NA,100.3378708,5.4150022,TRUE,NA
4917104526,artwork,NA,artwork,NA,"""Kandar"" sculpture",NA,NA,100.3379008,5.4161912,TRUE,NA
4109101090,artwork,NA,artwork,NA,"""Lion Dance Breaking Out of Wall"" mural",NA,NA,100.3374637,5.4152323,TRUE,NA
2270325265,artwork,NA,artwork,NA,"""Little Boy with Pet Dinosaur"" mural",NA,NA,100.3389057,5.4152828,TRUE,NA
2270325258,artwork,NA,artwork,NA,"""Little Children on a Bicycle"" mural",NA,NA,100.3382076,5.4146706,TRUE,NA
